m/z,Intensity
55.1,12220
57.7,15480
60.2,4240
63.4,14790
66.8,7773000
67.8,378800
69,56130
70.6,8710
72,15270
73.9,56700
74.9,6707
79,10170
80.9,288600
83.1,82330
84.3,5717
86.8,8800
87.7,23090
88.7,3639
92.4,16810
94.8,25050
97,15620
98,128000
102.1,161500
104.3,13550
106.1,18770
107.2,36120
109,37970000
110,2938000
111.1,88400
112.7,26410
116.3,3948
118,32760
124,11120000
126,117900000
127.1,14770000
128.1,841600
130,24260
131.1,4658
133.4,5117
135.2,1047
136.5,5175
138.2,27840
139.3,6551
140.1,29610
141.2,16450
143,105800000
144.1,11440000
145.1,506700
147,24410
148.9,3342
149.8,15480
150.2,16100
152,13910
152.8,6448
154,38470
155.2,18370
156.8,58610
157.9,18330
159.3,13350
161,48690
162.4,4300
163.9,5700
165.3,1716
167.2,87800
169,57120
171.1,448600
173.2,36120
174.5,7627
176.4,26370
178.7,1245
180.8,10400
181.9,10350
183.2,7222
184.2,89130
185,56630
187.1,6144000
188.1,664900
191.7,1296
193.1,5329
195.3,5762
196.4,1279
197.1,7065
199.4,4717
203.2,5812
204.1,5784
209.2,6911
211,1306
212.1,8895
213.3,6229
214.3,3798
215.2,10660
216.5,5729
218.3,32760
219.3,10290
221,5437
225,5909
226.2,6702
226.9,4041
229.1,4658
231.5,1446
233.2,6063
234.2,9918
235.1,58220
239,5159
241,181500
242.9,8539
244.4,4250
246,10610
247.1,171000
248.2,62320
249.1,132500
250.7,20410
252.1,106700
253,21490
254,5342
256,8686
258.1,2545
259.6,11120
261,1028
